Dönem;Pazar;Dil;İş Amacı;Ana Grup;Reklam Hesabı;Para Birimi;Kampanya;Kampanya ID;Kampanya Durumu;Reklam Seti;Set ID;Set Durumu;Optimizasyon;Kampanya Günlük Bütçe;Kampanya Ömür Boyu;Set Günlük Bütçe;Set Ömür Boyu;Gerçekleşen Harcama;Gösterim;Erişim;Tıklama;Form Lead;WhatsApp Lead;Toplam Lead;Ham Mesaj Sonucu;Video İzlenme
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Nilüfer;​120249061996540399;ACTIVE;nilüfer - Sözer Sarıoğlu;​120249678934630399;ACTIVE;REACH;0;0;100;0;2332.28;255857;246234;86;0;0;0;0;7887
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Nilüfer;​120249061996540399;ACTIVE;nilüfer - Sözer Sarıoğlu;​120249678934630399;ACTIVE;REACH;0;0;100;0;458.25;53926;52748;16;0;0;0;0;1882
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Nilüfer;​120249061996540399;ACTIVE;nilüfer - Şenol Acar;​120252512712000399;ACTIVE;REACH;0;0;100;0;2311.92;255287;217030;169;0;0;0;0;10147
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Nilüfer;​120249061996540399;ACTIVE;nilüfer - Şenol Acar;​120252512712000399;ACTIVE;REACH;0;0;100;0;459.87;54074;50359;49;0;0;0;0;2229
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Nilüfer;​120249061996540399;ACTIVE;nilüfer - Volkan Tümay;​120250017569770399;ACTIVE;REACH;0;0;100;0;2307.66;254526;224543;140;0;0;0;0;10180
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Nilüfer;​120249061996540399;ACTIVE;nilüfer - Volkan Tümay;​120250017569770399;ACTIVE;REACH;0;0;100;0;474.82;55676;53140;39;0;0;0;0;2223
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Nilüfer;​120249061996540399;ACTIVE;nilüfer - Zafer Serenli Yeğen;​120250140012690399;ACTIVE;REACH;0;0;100;0;2321.82;254990;245919;99;0;0;0;0;8458
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Nilüfer;​120249061996540399;ACTIVE;nilüfer - Zafer Serenli Yeğen;​120250140012690399;ACTIVE;REACH;0;0;100;0;475.4;55944;55363;16;0;0;0;0;2042
Temmuz 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Yıldırım;​120255158812950399;ACTIVE;yıldırım -  Şener Özbölük;​120255507182090399;ACTIVE;REACH;0;0;100;0;1328.73;143998;138150;74;0;0;0;0;6712
Ağustos 2026;Yerli;Türkçe;Bilinirlik / İzlenme / Trafik;Doktor Kampanyası;Doruk Hastaneleri - SİNA ÖZEL Sağlık Hizmetleri A.ş;TRY;Doktor - Bilinirlik Kampanyası - Yıldırım;​120255158812950399;ACTIVE;yıldırım -  Şener Özbölük;​120255507182090399;ACTIVE;REACH;0;0;100;0;473.83;55966;54486;27;0;0;0;0;2328
