"hesap";"ham_meta_adi";"meta_reklam_id";"reklam_seti_ham_adi";"kampanya_ham_adi";"durum";"yaratici_ham_adi";"cta";"destination";"yaratici_metin_ve_baslik";"yaratici_dil_sinyali";"yaratici_kimlik_kalitesi";"yaratici_ailesi";"kunye_kaniti";"insan_notu"
"Doruk Tibbi Bilgiler";"video-3";"52668193170424";"Jinekomasti - Erkek - Kanada - EN - iOS";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"ADSET_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"video-2";"52668194801424";"Jinekomasti - Erkek - Yeni Zellanda - EN - iOS";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"ADSET_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"video-3";"52668194299424";"Jinekomasti - Erkek - Avusturalya - EN - iOS";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"ADSET_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"EN- Jinekomasti Sonrası AE.mp4";"52668195121224";"Jinekomasti - Erkek - Amerika - EN - iOS";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"ADSET_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"video-2";"52668193171224";"Jinekomasti - Erkek - Kanada - EN - iOS";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"ADSET_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"EN - Yediklerimiz Jinekomasti Yapar Mı.mp4";"52668194669424";"Jinekomasti - Erkek - Birleşik Krallık - EN - iOS";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"ADSET_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"a - Kopya";"52547158763424";"Avusturalya Kadın iOS";"Whatsapp - Estetik - Rinoplasti - Anglosfer - Genel - EN - lead";"PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"Rinoplasti Şenol - 3";"52547158763624";"Avusturalya Kadın iOS";"Whatsapp - Estetik - Rinoplasti - Anglosfer - Genel - EN - lead";"CAMPAIGN_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"video-3";"52668194669824";"Jinekomasti - Erkek - Birleşik Krallık - EN - iOS";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"ADSET_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"video-1";"52668194669224";"Jinekomasti - Erkek - Birleşik Krallık - EN - iOS";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"ADSET_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"video-3";"52668194802024";"Jinekomasti - Erkek - Yeni Zellanda - EN - iOS";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"ADSET_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
"Doruk Tibbi Bilgiler";"video-2";"52668194300024";"Jinekomasti - Erkek - Avusturalya - EN - iOS";"Estetik - Jinekomasti - Anglosfer - Genel - EN - lead";"ADSET_PAUSED";"";"bilinmiyor";"bilinmiyor";"metin_alinamadi";"bilinmiyor";"belirsiz";"";"canli_yaratici_eksik";""
